,date,author,converation,replies number,likes number,rewteet number
33,2023-03-07 02:35:42+00:00,taylorlorenz,@TaylorLorenz It would also make no difference in protection against robberies at all.,0,16,0
34,2023-03-07 02:33:37+00:00,taylorlorenz,@TaylorLorenz https://t.co/8tGIxkFutK,0,35,0
35,2023-03-07 02:33:36+00:00,taylorlorenz,@TaylorLorenz Weird that they don’t suggest shopowners frisk customers for weapons if this is all about safety,0,70,3
36,2023-03-07 02:33:14+00:00,taylorlorenz,"1st it was: my mask protects u &amp; urs protects me, mask up!

Then: 1 way masking works (it doesn’t) if ur vulnerable ur responsible for ur own health, always mask and never let it slip or u deserve death.

Now: If u wear a mask ur a criminal &amp; deserve harassment and discrimination",1,335,58
37,2023-03-07 02:29:59+00:00,taylorlorenz,@TaylorLorenz I guess a platinum card isn't a peace offering enough for retail 🤷🏻‍♀️,0,24,1
38,2023-03-07 02:29:34+00:00,taylorlorenz,"@TaylorLorenz I hope the @ACLU takes action against this. This can be considered a 1A violation as Niqabs are considered masks too.

https://t.co/dnchcMCoNE",0,43,0
39,2023-03-07 01:23:41+00:00,taylorlorenz,@TaylorLorenz waaaay too far uptown,0,1,0
40,2023-03-07 01:22:59+00:00,taylorlorenz,@TaylorLorenz @EllenYChang ikr Express editor pants are decades old 😂,0,1,0
41,2023-03-07 00:26:13+00:00,taylorlorenz,@TaylorLorenz @Annatated Please include your reference about this. I believe it’s not in the air or surfaces. Also there is barely any covid going around.,1,0,0
42,2023-03-06 23:44:40+00:00,taylorlorenz,"@TaylorLorenz do not blow up my quiet, chill neighborhood spot",0,0,0
43,2023-03-06 23:43:51+00:00,taylorlorenz,@TaylorLorenz @IsabelSala2 @Annatated And rearranging/replacing a well-fitted mask so it fits closely and properly may also not be easy to do... esp. in a hurry (and esp. with mittened or cold or hands!),0,3,0
44,2023-03-06 22:54:01+00:00,taylorlorenz,"@TaylorLorenz @WitchofTheWands a thought: there *is* a diff between safety and sense of safety. i run into this all the time in dating. there are some mitigations women ask for that don't add to their actual safety.

but it makes them *feel* safer. which is what's important for a fun date. so i accommodate.",0,5,0
45,2023-03-06 22:44:32+00:00,taylorlorenz,@TaylorLorenz @IsabelSala2 There's also the not so insignificant issue of the CDC recommending that people with active COVID wearing a mask for 10 days and this policy endangering essential workers. @bern_hogan you should ask @NYCMayor about this.,1,17,2
46,2023-03-06 22:22:10+00:00,taylorlorenz,"@IsabelSala2 @Annatated You do not need to be in front of someone or have them cough on you. Covid spreads in the air. An infected person can breathe, leave a room, and u can walk in and breathe the air and get infected. Covid can travel by air, infecting ppl 20 feet away https://t.co/iwE1j5hHuS",2,31,2
47,2023-03-06 22:12:43+00:00,taylorlorenz,@TaylorLorenz @Annatated What? Covid spreads by air? Never heard that at all! Not if you are not beside or in front of a person who talks or coughs and you inhale it. It’s not in the air. So you are one of those wearing a mask while jogging alone?Besides like in my state there is hardly infections now,9,0,0
48,2023-03-06 21:57:10+00:00,taylorlorenz,@TaylorLorenz watching the thing on glitch you think these people could afford PR person smh,0,0,0
49,2023-03-06 21:38:28+00:00,taylorlorenz,"Disabled/medically vulnerable ppl are dying en masse, for many of us there’s ZERO treatment avail if we get covid (can’t take Paxlovid, don’t mount a reaction to the vax), we’re being completely shut out of society and forced to risk our life to do basic tasks. This shit is evil",0,194,22
50,2023-03-06 21:17:08+00:00,taylorlorenz,"@TaylorLorenz @EllenYChang ...""with modern touches (like real pockets)"" WOW!",0,0,0
51,2023-03-06 21:14:56+00:00,taylorlorenz,"@TaylorLorenz Eric Adams telling people to take off their masks to ""fight crime"" requires ""crime"" to kill more people every week than COVID to be good advice.

NYC is currently admitting to four murders a week. I don't like the numbers. 

#Deadpan",0,41,6
52,2023-03-06 21:02:01+00:00,taylorlorenz,@TaylorLorenz Agreed. Thanks ❤️,0,9,0
53,2023-03-06 20:54:38+00:00,taylorlorenz,"@TaylorLorenz Amen, amen, and amen. COVID aftermath is ripping my father apart right now. It's not over and those who act as if it is endanger us all.",0,47,0
54,2023-03-06 20:05:41+00:00,taylorlorenz,"@TaylorLorenz this explains the entire reason for the current hellscape: most people ""feel"" safe and that's just good enough for them! zero consideration that safety is not just a feeling",0,19,0
55,2023-03-06 19:47:11+00:00,taylorlorenz,@TaylorLorenz @willystaley Exactly,0,0,0
56,2023-03-06 19:09:15+00:00,taylorlorenz,@TaylorLorenz The Goods had a similar announcement today too,1,3,1
57,2023-03-06 18:26:18+00:00,taylorlorenz,@TaylorLorenz @EllenYChang I used to have three pairs because they come in tall,0,2,0
58,2023-03-06 18:23:31+00:00,taylorlorenz,@TaylorLorenz Yeeppp https://t.co/h3spfUn6d3,0,2,0
59,2023-03-06 18:12:35+00:00,taylorlorenz,@TaylorLorenz @EllenYChang In the 90s too. When I was an editor 😂 loved those pants!,0,1,0
60,2023-03-06 18:05:18+00:00,taylorlorenz,@TaylorLorenz @EllenYChang I had them in the 00s but can conjure what they felt and smelled like even now.,0,0,0
61,2023-03-06 17:58:22+00:00,taylorlorenz,@TaylorLorenz @EllenYChang I loved them!,0,0,0
62,2023-03-06 17:51:59+00:00,taylorlorenz,@TaylorLorenz Went from https://t.co/roaVhwROQ6 to https://t.co/wbrdeiHRLU!,0,1,0
63,2023-03-06 17:47:22+00:00,taylorlorenz,"@TaylorLorenz @atRachelGilmore
Why?

She cheered for the firing of unvaccinated individuals in 🇨🇦

No EI no matter how many years they paid into that system

She lied on multiple occasions throughout her time at global

It's hard to feel bad for someone who wished hate on others",0,4,0
64,2023-03-06 17:45:43+00:00,taylorlorenz,@TaylorLorenz @EllenYChang Mine too. Best pants I ever purchased,0,2,0
65,2023-03-06 17:38:13+00:00,taylorlorenz,@TaylorLorenz *https://t.co/oriSWpqx7k*,0,1,0
66,2023-03-06 17:36:15+00:00,taylorlorenz,"These campaigns are a serious threat to press freedom, report after report bears that out, despite what many angry men with no knowledge of the issue say based on their own personal feelings and vibes https://t.co/7srexQBeHA",0,47,8
67,2023-03-06 17:34:39+00:00,taylorlorenz,"Wild of this man to invoke medical misogyny while simultaneously calling a female BBC reporter who produced a deeply nuanced and well researched investigation into Twitter's failure to manage online harassment a ""hysteric"" https://t.co/uPqwUPOZSy",1,75,10
68,2023-03-06 17:34:18+00:00,taylorlorenz,@TaylorLorenz https://t.co/iDNNU2EazM,1,0,0
69,2023-03-06 17:33:21+00:00,taylorlorenz,"@TaylorLorenz When you repeat someone's argument back to them, you should characterize it accurately, that's considered basic good journalism and manners. 

You suggested that the existence of an academic field of research into X is evidence X actually exists. I gave a clear counterexample.",1,3,0
70,2023-03-06 17:31:14+00:00,taylorlorenz,"@TaylorLorenz “what beat are you on?”

“oh all of them”",0,3,0
71,2023-03-06 17:28:28+00:00,taylorlorenz,"A reporter investigating people who weaponize online platforms to spread lies and launch smear/harassment campaigns aimed at silencing the press or marginalized groups (and monetize that way!) is not  remotely similar to ""lobotomizing women"" what on earth https://t.co/2dLAkN5YGN",3,53,7
72,2023-03-06 17:27:21+00:00,taylorlorenz,@TaylorLorenz @willystaley I think your quality of life in particular would be a lot better without smartphone access,0,2,0
73,2023-03-06 17:18:39+00:00,taylorlorenz,@TaylorLorenz The entire beat is misconceived. The existence of academics studying something for a few years is no proof of its correctness of legitimacy.,1,2,0
74,2023-03-06 17:18:38+00:00,taylorlorenz,"@TaylorLorenz Meanwhile, Musk is tweeting about XX chromosomes and weightlifting or some such silliness he found on Fox News.",0,0,0
