,date,author,converation,replies number,likes number,rewteet number
0,2023-03-07 23:45:15+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
1,2023-03-07 21:26:00+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
2,2023-03-07 21:03:54+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
3,2023-03-07 19:19:37+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
4,2023-03-07 18:41:43+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
5,2023-03-07 18:16:58+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
6,2023-03-07 18:02:22+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
7,2023-03-07 17:11:08+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
8,2023-03-07 17:03:20+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
9,2023-03-07 16:23:30+00:00,cathiedwood,@CathieDWood @GigaNevada @Tesla @Teslaconomics @hikingskiing @teslaeconomist @tes,0,0,0
10,2023-03-07 15:06:20+00:00,cathiedwood,@CathieDWood @ARKInvest @CNBCClosingBell @CNBCFastMoney @HalftimeReport @MadMoneyOnCNBC @CNBC @StockInvestUS #stockstowatch #StocksInFocus #StocksoftheDay @Benzinga @InsidrFinancial  https://t.co/fg5S7z4koP,0,0,0
11,2023-03-07 14:20:39+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
12,2023-03-07 13:58:04+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
13,2023-03-07 13:37:04+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
14,2023-03-07 13:32:58+00:00,cathiedwood,@CathieDWood call The Dev @heyitsmethedev,0,0,0
15,2023-03-07 12:48:22+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,1,0
16,2023-03-07 11:16:09+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
17,2023-03-07 11:08:55+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
18,2023-03-07 10:18:45+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
19,2023-03-07 10:05:06+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
20,2023-03-07 10:03:15+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
21,2023-03-07 08:14:41+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
22,2023-03-07 06:51:04+00:00,cathiedwood,"@CathieDWood call The Dev 
The Dev
@heyitsmethedev",0,0,0
23,2023-03-07 06:36:34+00:00,cathiedwood,"@CathieDWood call The Dev 

The Dev

@heyitsmethedev",0,0,0
24,2023-03-07 06:36:21+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
25,2023-03-07 06:35:51+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev 

@heyitsmethedev",0,3,0
26,2023-03-07 06:20:14+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
27,2023-03-07 04:58:00+00:00,cathiedwood,"@CathieDWood @CNBC @SaraEisen @skorusARK Good for the future and for the now of Tesla. A painful reminder for buyers of 2021, 2022 models. Highest prices and no tax break.",0,0,0
28,2023-03-07 04:44:21+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev  Its HERE!",0,0,0
29,2023-03-07 04:29:37+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
30,2023-03-07 04:29:24+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
31,2023-03-07 03:40:06+00:00,cathiedwood,@CathieDWood @ARKInvest @CNBC @SaraEisen @skorusARK Tsla pumper! Only Low life go around pumping their investments!! Get real.,0,0,0
32,2023-03-07 02:25:11+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev https://t.co/q5mNWXDihl",0,0,0
33,2023-03-07 01:20:33+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
34,2023-03-07 00:26:29+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
35,2023-03-06 22:50:46+00:00,cathiedwood,@CathieDWood Can you just buy Tesla at 220 a share and knock the shorts out who are manipulating the price. $TSLA,0,1,0
36,2023-03-06 22:34:58+00:00,cathiedwood,"@CathieDWood I really feel The Dev 
project is really a good call
-
The Dev

@heyitsmethedev",0,1,0
37,2023-03-06 22:23:53+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
38,2023-03-06 21:51:41+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
39,2023-03-06 21:29:19+00:00,cathiedwood,@CathieDWood @ArkkDaily @ARKInvest what happened? Where are the Robotaxis?,0,0,0
40,2023-03-06 19:39:48+00:00,cathiedwood,"@CathieDWood @CNBC @SaraEisen @skorusARK Ok, that is called halluzination.",0,0,0
41,2023-03-06 19:20:14+00:00,cathiedwood,"@CathieDWood  call The Dev 

-
The Dev

@HeyItsMeTheDev",1,0,0
42,2023-03-06 19:18:32+00:00,cathiedwood,@CathieDWood @CNBC @SaraEisen @skorusARK https://t.co/T7SzjSciEC,0,0,0
43,2023-03-06 19:01:17+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
44,2023-03-06 18:46:35+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev is ours.

@heyitsmethedev",0,2,0
45,2023-03-06 18:06:37+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
46,2023-03-06 15:55:08+00:00,cathiedwood,"@CathieDWood looking very, very good here. $ARKK",0,0,0
47,2023-03-06 15:49:05+00:00,cathiedwood,@CathieDWood @CNBC @SaraEisen @skorusARK 💥 💥💥,1,0,0
48,2023-03-06 15:44:44+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
49,2023-03-06 15:27:13+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
50,2023-03-06 15:17:14+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev is the future. @TheDevsNFT 

@heyitsmethedev",0,0,0
51,2023-03-06 14:56:11+00:00,cathiedwood,@CathieDWood https://t.co/JAn8A60ZI6,0,0,0
52,2023-03-06 14:10:43+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
53,2023-03-06 14:01:04+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
54,2023-03-06 13:28:08+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
55,2023-03-06 11:46:48+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
56,2023-03-06 08:52:19+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
57,2023-03-06 07:56:29+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
58,2023-03-06 07:29:09+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev @HeyItsMeTheDev",0,0,0
59,2023-03-06 07:24:36+00:00,cathiedwood,"@CathieDWood call The Dev 

-Fade not ✅
The Dev

@heyitsmethedev",0,0,0
60,2023-03-06 07:15:55+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev
Don't fade 🚀💥

@heyitsmethedev",0,0,0
61,2023-03-06 06:42:32+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
62,2023-03-06 05:57:32+00:00,cathiedwood,"@CathieDWood @CNBC @SaraEisen @skorusARK Are you for real? You not only always espouse the most simplistic party line bs but indeed make one wonder how - particularly after failing running other people's funds- you succeded in raising capital for your own. Whatever the opposite of ""profound"" is that would be your views.",1,0,0
63,2023-03-06 03:25:23+00:00,cathiedwood,"@CathieDWood Yeah AI Revolution, Call Dev @cathiedwood",0,1,0
64,2023-03-06 03:24:24+00:00,cathiedwood,"@CathieDWood @CNBC @SaraEisen @skorusARK To be nice, let’s just say Sara is in the “dark”",0,0,0
65,2023-03-06 01:47:55+00:00,cathiedwood,"@CathieDWood call The Dev please 

-
The Dev

@heyitsmethedev",0,0,0
66,2023-03-06 00:51:39+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
67,2023-03-05 22:24:46+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
68,2023-03-05 22:22:26+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,1,1
69,2023-03-05 20:24:47+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
70,2023-03-05 19:44:42+00:00,cathiedwood,"@CathieDWood Cathie,  I hope that you had a great weekend, and I hope that you have a great week. Raynauld",0,0,0
71,2023-03-05 18:47:57+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev 
@h68Au0zEXvQkRrF 
@CVBelieve 
@xdrmell",0,0,0
72,2023-03-05 18:39:43+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
73,2023-03-05 18:35:52+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
74,2023-03-05 15:26:10+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev do it",0,0,0
75,2023-03-05 15:25:54+00:00,cathiedwood,@CathieDWood @ARKInvest @CNBCClosingBell @CNBCFastMoney @HalftimeReport @MadMoneyOnCNBC @CNBC @StockInvestUS #stockstowatch #StocksInFocus #StocksoftheDay @Benzinga @InsidrFinancial plans is almost ready. $ABML is going to sky rocket.  🙏,0,0,0
76,2023-03-05 15:23:32+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
77,2023-03-05 14:04:00+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
78,2023-03-05 13:21:08+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
79,2023-03-05 11:01:05+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev 🚀👅",0,0,0
80,2023-03-05 10:40:14+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
81,2023-03-05 09:32:58+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,1,0
82,2023-03-05 08:49:52+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
83,2023-03-05 08:09:10+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
84,2023-03-05 08:05:56+00:00,cathiedwood,"@CathieDWood was perhaps a bubble but this looks serious long term investment. In any case, long term investment is essential to create wealth in the stock market @GQGPartners

https://t.co/x5e1aGYsTH",0,0,0
85,2023-03-05 07:42:31+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
86,2023-03-05 06:37:53+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
87,2023-03-05 06:23:13+00:00,cathiedwood,"@CathieDWood call The Dev 

-
The Dev

@heyitsmethedev",0,0,0
