,date,author,converation,replies number,likes number,rewteet number
43,2023-02-04 00:31:39+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK there is zero chance $BTX doesn't make new high in the next 12-24 months   period... your right CW,0,0,0
44,2023-02-04 00:30:04+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Lol  letsssss gooooo https://t.co/x3TwFVxshf,0,1,0
45,2023-02-04 00:16:11+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK If you need more/better help please reach out.,0,0,0
46,2023-02-04 00:15:15+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK https://t.co/sUQ8VQ18gU,0,0,0
47,2023-02-04 00:12:03+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Dogehie Wood,0,0,0
48,2023-02-04 00:09:04+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK It is testing 50 days moving average(monthly). Still there is a big gap between 25k and 30k. #Bitcoin $btc.x https://t.co/am0oH1EcU7,1,1,0
49,2023-02-03 23:36:27+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK No serious investor can apparently stake so high on crypto. Embarrassing.,0,2,0
50,2023-02-03 23:35:10+00:00,cathiedwood,@CathieDWood @systemic_bliss @dpuellARK @yassineARK We love you Queen! 👸,0,4,0
51,2023-02-03 23:34:51+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Looks like it about to get rejected.,0,0,0
52,2023-02-03 23:25:12+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK USD is the story when it comes to Bitcoin &amp; pretty much everything.  NOT ENOUGH USD TO BUY Goods &amp; services.  Can't pay your rent or buy food in bitcoin.  NOT ENOUGH USD - bitcoin &amp; other assets will b sold to get dollars.  USD rally will rip faces off.  Buckle UP Buttercup!,0,0,0
53,2023-02-03 23:21:35+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK So how much is the stone worth under one of the three tin's again given I've never been able to see or touch it nor has anyone else for that matter just a thought and wonderment,1,0,0
54,2023-02-03 23:21:28+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Lol,0,0,0
55,2023-02-03 23:17:34+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK @rovercrc @Ashcryptoreal 📌 https://t.co/zxFUmVatsB,0,0,0
56,2023-02-03 23:10:27+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK I’d love to see these fundamentals for something that produces nothing,1,2,0
57,2023-02-03 23:09:56+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK Cathie, you would rather buy Tesla stock vs. Gene editing stocks if you won the lottery?",0,0,0
58,2023-02-03 23:09:33+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Lol we all know it’s being manipulated silly goose,0,0,0
59,2023-02-03 23:07:13+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK Cathie Wood’s attitude towards #Bitcoin is the same crazy perspective a deranged girlfriend has about a handsome boy that keeps cheating on her. https://t.co/cezukjc6RY,0,0,0
60,2023-02-03 23:07:05+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK So you are saying we have hit the bottom,0,0,0
61,2023-02-03 23:03:41+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK sell bitcoin and run run run !!,0,0,0
62,2023-02-03 23:02:40+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK @MWhalekiller thoughts??,0,1,0
63,2023-02-03 23:01:06+00:00,cathiedwood,"@CathieDWood @dpuellARK @yassineARK You are invested too much money there, this is the reason behind your optimism. Stop Gambling",0,0,0
64,2023-02-03 23:00:37+00:00,cathiedwood,@CathieDWood @dpuellARK @yassineARK 👀,0,1,0
65,2023-02-03 20:56:02+00:00,cathiedwood,@CathieDWood 1 Milyon USD altındaki #btc ucuzdur demiş. @coinmuhendisim,0,0,0
66,2023-02-03 20:17:36+00:00,cathiedwood,"@CathieDWood @ARKInvest @elonmusk @SpaceX @JeffBezos @blueorigin @richardbranson @virgingalactic @jimcramer @MadMoneyOnCNBC 

NEWS: @NASA is working on developing an AI-powered #GPS for navigating the Moon. 📰👀",0,1,1
67,2023-02-03 19:13:52+00:00,cathiedwood,@CathieDWood suggest $ARKK is the new $QQQ. That would be quite the Cinderella story.,0,0,0
68,2023-02-03 18:49:43+00:00,cathiedwood,@CathieDWood on #Bitcoin,0,0,0
69,2023-02-03 16:38:17+00:00,cathiedwood,@CathieDWood Netflix 6-month trending  $226-$378 https://t.co/0sDFJRnFTL,0,0,0
70,2023-02-03 16:19:25+00:00,cathiedwood,"@CathieDWood hey Cathie, what are your thoughts on eVTOL? Is @ARKInvest doing any research in this sector and if so, do you anticipate it being part of Ark’s big ideas in the future? 

Thanks.",0,0,0
71,2023-02-03 15:53:00+00:00,cathiedwood,@CathieDWood  Believes The Best Insurance Is #Bitcoin.,0,0,0
